PC1,PC2,PC3,PC4,Kategori
-0.4672992376457271,-0.30794236422805216,0.059641785658143834,0.0480773655057735,Kunjungan Wisman_2020
-0.28547554086580906,-0.2785182073507968,0.0812665833509096,0.035732549274981484,Kunjungan Wisman_2021
0.2774869113262154,-0.16761532490733402,-0.003210051886886136,-0.009827187057552858,Kunjungan Wisman_2022
0.4634895114538825,-0.14969971562670087,-0.2839120044179652,-0.14446870688314012,Tingkat Hunian Kamar (%)_2020
0.7215597108442658,-0.10901787024820538,-0.3273557958950006,-0.13043274633817398,Tingkat Hunian Kamar (%)_2021
0.9796508396582335,-0.06832941324113345,-0.37073068433374484,-0.11635360780481944,Tingkat Hunian Kamar (%)_2022
1.3389670330300443,0.0043361561204698605,-0.08085633295778809,0.10655568051531542,Penumpang Laut Berangkat_2020
2.0096130075551866,0.10931586673276983,-0.08765467350624193,0.2777639231957386,Penumpang Laut Berangkat_2021
2.0163707971602682,0.29150978529365024,0.6577640475852585,-0.1584867062722212,Penumpang Laut Berangkat_2022
-0.7597814114470408,-0.3636992631911275,0.07293707969573933,0.013694996129218066,Pesawat Berangkat_2020
-0.7496547126332139,-0.3618050343641897,0.07288984575536579,0.011108898295585225,Pesawat Berangkat_2021
-0.7477816085394533,-0.36115038790294574,0.0754250335893704,0.00906548432765364,Pesawat Berangkat_2022
-0.757868984114959,-0.36336536575854195,0.07267357742261531,0.013138471843850981,Pesawat Datang_2020
-0.75371865605285,-0.3622698446705554,0.07398195777947217,0.012813656874069558,Pesawat Datang_2021
-0.7473135461265364,-0.36105166586957127,0.07548910538097936,0.01040713174526971,Pesawat Datang_2022
-0.842100247136378,0.8955345383825141,-0.02506415393809657,0.007187219822398785,Penumpang Speedboat_2020
-0.8472820070159819,0.9750481125624401,-0.031768079278821644,0.007147129211428276,Penumpang Speedboat_2021
-0.848861859450146,0.9787199982673104,-0.031517240003309785,0.0068764476146244355,Penumpang Speedboat_2022
